temperature,humidity,soil_moisture,rainfall,soil_type_enc,crop_type_enc,irrigate,litres_eau
36.2,58.84,44.43,49.628460876827404,1,4,0,5.3
29.39,53.28,40.12,17.05948915983274,2,7,0,25.3
31.09,53.5,30.38,41.23282161964517,3,5,1,16.9
31.74,56.28,31.1,38.8409089041904,3,8,1,19.3
30.96,71.01,55.69,19.35043702407414,3,5,0,14.1
31.35,68.81,41.39,49.28900092057232,0,5,0,5.0
30.47,54.41,29.6,22.157976988286386,0,10,1,28.1
23.83,52.78,20.0,5.755005022248944,0,7,1,38.7
31.64,51.55,63.79,19.860616171545303,2,9,0,10.6
33.91,63.82,41.45,34.2156470330767,0,10,0,10.3
28.75,56.3,63.61,11.40391664367018,4,4,0,13.7
28.56,43.97,24.88,21.376618803001545,2,9,1,29.6
23.65,42.79,40.9,28.366578098674104,1,5,0,17.2
36.82,59.9,37.21,16.840847059465062,0,6,1,30.2
28.71,45.53,37.59,46.86629294036516,1,0,1,5.1
32.56,72.74,47.31,19.509296084047655,2,2,0,19.3
37.97,62.65,56.53,45.58544047319583,3,2,0,5.0
34.72,67.85,69.81,6.6013860392873935,2,0,0,15.3
36.46,63.12,40.28,31.957784321230175,0,7,0,14.7
33.44,59.53,70.0,32.12552764856705,1,1,0,5.0
25.05,57.08,55.46,17.829888778099868,1,9,0,14.1
28.63,44.44,45.65,22.3529040540163,4,10,1,18.4
29.35,67.05,31.67,4.595253046771991,0,1,1,35.7
26.91,53.87,31.06,32.31865001245733,2,2,0,16.9
37.14,69.78,61.72,34.691215785814784,4,2,0,5.0
28.54,55.75,38.08,46.77340593909649,1,8,1,5.7
31.58,72.67,27.01,17.515100790910466,1,3,1,28.3
31.55,43.6,51.07,19.410232968885495,3,1,1,18.4
28.65,55.95,65.2,24.976253712880748,2,10,0,5.0
35.86,73.75,44.57,45.052977688806095,2,2,0,5.0
29.47,59.72,59.54,48.69196482317521,3,10,0,5.0
26.3,56.35,38.58,38.43964408782655,2,8,1,11.6
26.35,63.69,58.47,10.315246194341665,2,9,1,16.1
35.55,67.27,37.82,3.2138381403985674,4,7,1,34.4
33.13,59.46,51.97,36.050759057586404,4,2,0,5.0
23.72,61.19,42.73,21.559185731715942,3,7,0,18.0
28.33,61.2,58.57,25.03551414486277,3,10,0,10.5
23.92,57.89,54.22,40.26785920943081,2,7,0,5.0
21.47,45.29,43.45,9.635705654263283,3,7,0,19.8
26.51,50.69,57.11,44.3789053727173,4,8,0,5.0
29.9,41.0,54.27,35.36109416283239,3,5,0,8.5
36.89,66.29,60.84,47.279507019624525,3,2,0,5.0
33.2,73.6,53.85,26.187948357707697,4,8,1,11.5
32.94,58.34,26.77,40.50647194092266,4,9,1,15.5
30.61,69.73,64.16,19.3882994499675,2,6,1,12.3
23.59,48.13,28.61,23.703887312629345,4,8,1,20.6
21.95,50.68,43.79,6.13448529270681,2,9,0,29.3
25.43,54.6,33.36,20.577703733114227,1,6,1,27.1
37.39,69.61,67.14,17.002579484309216,3,4,0,12.3
26.79,61.62,45.64,49.41367487127132,4,2,0,5.0
30.38,63.18,56.23,27.444108432998494,2,9,0,7.6
26.32,61.03,28.0,49.66835321680734,0,5,0,9.6
28.21,57.07,40.54,21.453696044534205,4,6,1,18.0
27.52,62.28,31.71,10.79915368938289,4,7,1,32.2
29.32,47.61,44.18,45.02422713390912,2,10,0,5.0
30.62,46.34,61.19,41.3331735147565,0,0,0,5.0
26.6,59.53,54.76,48.528821090059324,0,3,0,5.0
34.58,67.63,40.3,38.116870663659476,3,2,0,13.1
